CUSTOMERID,INVOICEID,INVOICEDATE,AMOUNT,QUANTITY,PAYMENTMETHOD
CUST0468,INV00029,2023-04-12 05:05:09.000,240.71,9,PayPal
CUST0409,INV02988,2023-04-12 07:56:57.000,495.28,6,PayPal
CUST0302,INV02202,2023-04-12 08:40:14.000,460.58,10,Credit Card
CUST0356,INV03188,2023-04-12 14:15:55.000,64.23,10,Gift Card
CUST0035,INV04911,2023-04-12 17:02:39.000,359.38,4,PayPal
CUST0379,INV00569,2023-04-12 19:20:09.000,273.62,4,Bank Transfer
CUST0429,INV04178,2023-04-12 21:13:40.000,53.24,2,Bank Transfer
CUST0474,INV02833,2023-04-13 02:16:08.000,113.92,3,Credit Card
CUST0380,INV01330,2023-04-13 02:20:37.000,409.12,8,Credit Card
CUST0441,INV00888,2023-04-13 06:46:39.000,449.29,6,Bank Transfer
CUST0228,INV01904,2023-04-13 13:34:06.000,435.09,4,Gift Card
CUST0279,INV03247,2023-04-13 15:37:28.000,242.86,1,Bank Transfer
CUST0441,INV00681,2023-04-13 15:56:15.000,233.45,10,Gift Card
CUST0253,INV00463,2023-04-14 03:33:14.000,310.78,9,Credit Card
CUST0151,INV02485,2023-04-14 06:20:02.000,103.92,1,Credit Card
CUST0061,INV04481,2023-04-14 11:25:31.000,249.59,10,Bank Transfer
CUST0239,INV00061,2023-04-14 14:08:04.000,271.49,6,Bank Transfer
CUST0108,INV01263,2023-04-15 03:46:22.000,347.09,1,PayPal
CUST0323,INV00986,2023-04-15 05:23:35.000,67.85,4,Bank Transfer
CUST0391,INV04806,2023-04-15 05:59:09.000,250.80,2,Credit Card
CUST0498,INV00788,2023-04-15 09:21:36.000,151.19,1,PayPal
CUST0390,INV00408,2023-04-15 09:39:56.000,248.94,2,Bank Transfer
CUST0396,INV04300,2023-04-15 09:45:30.000,23.18,3,Gift Card
CUST0474,INV01612,2023-04-15 11:16:46.000,126.73,1,Bank Transfer
CUST0326,INV02979,2023-04-15 12:52:06.000,444.28,1,Gift Card
CUST0206,INV01411,2023-04-15 15:56:57.000,171.07,6,Bank Transfer
CUST0425,INV01711,2023-04-15 16:12:12.000,242.20,6,Gift Card
CUST0033,INV04260,2023-04-15 17:40:14.000,216.64,6,Bank Transfer
CUST0497,INV00989,2023-04-15 23:03:11.000,213.72,1,PayPal
CUST0172,INV00100,2023-04-16 01:40:41.000,221.00,10,PayPal
CUST0071,INV02738,2023-04-16 03:53:00.000,88.75,2,Gift Card
CUST0250,INV02240,2023-04-16 04:11:26.000,199.19,10,PayPal
CUST0437,INV02546,2023-04-16 06:45:53.000,261.81,10,Gift Card
CUST0242,INV04402,2023-04-16 10:35:37.000,191.75,9,Gift Card
CUST0431,INV04124,2023-04-16 14:26:26.000,473.95,3,PayPal
CUST0045,INV04861,2023-04-16 14:52:31.000,345.87,1,Credit Card
CUST0221,INV01202,2023-04-16 21:00:56.000,93.61,6,PayPal
CUST0494,INV02788,2023-04-16 22:56:24.000,118.16,9,Credit Card
CUST0162,INV04853,2023-04-17 08:35:06.000,242.16,3,Gift Card
CUST0149,INV01397,2023-04-17 12:57:03.000,186.56,7,Credit Card
CUST0473,INV00633,2023-04-17 12:59:13.000,339.51,8,Credit Card
CUST0389,INV03725,2023-04-17 22:27:43.000,292.35,1,Bank Transfer
CUST0011,INV01355,2023-04-17 23:36:19.000,414.21,2,Bank Transfer
CUST0269,INV00640,2023-04-18 04:53:02.000,158.14,2,Bank Transfer
CUST0150,INV00102,2023-04-18 08:33:38.000,370.09,8,PayPal
CUST0076,INV01357,2023-04-18 20:22:34.000,183.12,5,PayPal
CUST0344,INV00392,2023-04-18 20:32:05.000,401.83,1,Gift Card
CUST0071,INV02006,2023-04-18 23:39:22.000,425.16,3,Credit Card
CUST0074,INV01532,2023-04-19 01:06:24.000,498.00,4,Gift Card
CUST0296,INV04679,2023-04-19 04:16:01.000,112.94,9,Bank Transfer
CUST0163,INV02563,2023-04-19 16:37:30.000,74.85,8,Bank Transfer
CUST0204,INV00600,2023-04-19 17:38:31.000,443.35,5,Gift Card
